title,description,source,category
Japan’s Ishiba says he will push for US auto tariffs exemption - AP News,Japan’s Prime Minister Shigeru Ishiba says his government is making last ditch efforts to get U.S. President Donald Trump to exclude his country from an increase in auto tariffs due to take effect this week. Ishiba told reporters he is willing to fly to Washi…,Associated Press,business
Hooters files for bankruptcy - CNN,"Hooters — the restaurant chain first known for its orange-clad, all-female wait staff and then its chicken wings — filed for bankruptcy,  the company announced Monday. But the decades-old brand said it isn’t going anywhere.",CNN,business
"23andMe Is Selling All Your Data, in Largest Sale of Genomes in History - Futurism","As Nature reports, consumer-genomics company 23andMe has filed for bankruptcy — and legal permission to auction off all of that data.",Futurism,business
Travis Kelce adorably meets Jason and Kylie’s newborn daughter Finnley on ‘New Heights’ podcast - Page Six,"Jason and Kylie introduced their fourth baby girl to their Instagram followers Tuesday evening, writing, “Whoop, there she is! 3/30/25.”",Page Six,entertainment
"Microsoft is a clear winner from ChatGPT's super-viral Ghibli images, analysts say - Business Insider",Microsoft is a major investor in the artificial intelligence firm and its primary cloud provider.,Business Insider,entertainment
Round Up: The First Impressions Of The Minecraft Movie Are In - Nintendo Life,"""An AWFUL.. lot of fun!""",Nintendo Life,entertainment
Ariana DeBose Says She Didn’t Do the Thing - Vulture,"Ariana DeBose has suggested that she wasn’t being shady and knowingly quoting criticism of her former co-star Rachel Zegler. ‘I have no intention of inserting myself into a news cycle,’ DeBose wrote.",Vulture,entertainment
Title Change On WWE NXT - WrestleTalk,The main event of tonight's April 1 episode of WWE NXT at the Performance Center played host to the brand's latest title change.,Wrestletalk.com,entertainment
David Fincher to Direct Brad Pitt in ‘Once Upon a Time in Hollywood’ Netflix Follow-Up From a Tarantino Script - Variety,"David Fincher is circling a 'Once Upon a Time in Hollywood' sequel, written by Quentin Tarantino. Brad Pitt will return for the follow-up.",Variety,entertainment
Stephanie Vaquer relinquishes North American title; ladder match to determine new champion - Cageside Seats,This is certainly one way to do this.,Cageside Seats,entertainment
'Malcolm in the Middle' Erik Per Sullivan Spotted for First Time in 18 Years - TMZ,"Erik Per Sullivan used to be on TV all the time as a star on the hit 2000s sitcom ""Malcolm In The Middle"" ... but he vanished from Hollywood for nearly two decades, and now he's finally been spotted in his new life.",TMZ,entertainment
What Exactly Is Happening With Sydney Sweeney and Glen Powell? I’ll Start With the Bad News. - Slate,Can America survive a single Sydney Sweeney?,Slate Magazine,entertainment
Meghan Markle Just Posted a Video Dancing in Her Kitchen—and Shared the Official Jam Launch Date - PureWow,"Hear ye, hear ye: Meghan Markle just made her As Ever jam launch date official with an IG post of her dancing in the kitchen.",PureWow,entertainment
Gene and Betsy Hackman’s Estate Wins Partial Victory in Footage and Death Records Court Ruling - The Hollywood Reporter,A mixed ruling handed down on Monday afternoon stipulates that images of the very private couple’s partially decomposing bodies will not be released.,Hollywood Reporter,entertainment
‘The White Lotus’ Season 3 Finale Boasts Runtime Of 90 Minutes - Deadline,'The White Lotus' Season 3 finale will be the longest episode in the series at nearly 90 minutes to conclude the Thailand storyline.,Deadline,entertainment
"‘NYPD Blue’ actress Kim Delaney will not face assault charges, DA says - KTLA","Kim Delaney will not face assault charges related to her arrest in connection with felony assault, the Los Angeles County District Attorney’s Office announced Tuesday. Delaney, who starred in TV series “NYPD Blue,” “Army Wives” and “The O.C.,” was arrested Sa…",KTLA Los Angeles,entertainment
‘Adolescence’ Dethrones ‘Stranger Things 3’ and ‘Bridgerton 2’ on Netflix’s All Time Most Popular TV List With 96.7 Million Views - Variety,'Adolescence' joined Netflix's list of its most popular English-language TV series of all time at No. 9 with 96.7 million views thus far.,Variety,entertainment
The Films and Shows You Should Be Streaming in April 2025 - Gizmodo,"We've picked out the best horror, sci-fi, and genre titles coming to Netflix, Hulu, Prime Video, Disney+, and beyond, including Andor, How to Train Your Dragon, and Terminator",Gizmodo.com,entertainment
Daniel LaRusso returns to the East Coast in Karate Kid: Legends trailer - AV Club,Daniel LaRusso returns to the East Coast in Karate Kid: Legends trailer,The A.V. Club,entertainment
Reign Disick Reacted To That Wild Conspiracy Theory That Justin Bieber Is His Real Dad - buzzfeed.com,"Though it’s hard to believe today, there was a time when Kourtney and Justin were rumored to be “hooking up.”",Buzzfeed,entertainment
Prince Harry charity insiders reveal cash worries at Sentebale - BBC,"Financial worries and fundraising rows inflamed boardroom battle that engulfed Sentebale, insiders claim.",BBC News,entertainment
Kieran Culkin and Bob Odenkirk seal the deal in star-studded Broadway revival of Glengarry Glen Ross - Entertainment Weekly,Kieran Culkin and Bob Odenkirk seal the deal in the star-studded Broadway revival of 'Glengarry Glen Ross.' Read Entertainment Weekly's review.,Entertainment Weekly,entertainment
Texas lawmaker: Movies made here shouldn't use 'God's name in vain' - Chron,"During a Texas legislative finance committee hearing, State Sen. Donna Campbell expressed her belief that profanity should not be used in films made in Texas.",Chron.com,entertainment
Travis Kelce adorably meets Jason and Kylie’s newborn daughter Finnley on ‘New Heights’ podcast - Page Six,"Jason and Kylie introduced their fourth baby girl to their Instagram followers Tuesday evening, writing, “Whoop, there she is! 3/30/25.”",Page Six,general
DR Congo coup attempt: Three Americans have death sentence overturned - BBC,The Americans are among 37 people sentenced to death last September by  a military court.,BBC News,general
"French judges in Marine Le Pen case face death threats, police launch probe - France 24",Judges who convicted Marine Le Pen on embezzlement charges and banned the far-right politician from public office for five years have faced death threats since the sentencing earlier this week. French police have launched a new investigation into the threats …,FRANCE 24 English,general
Boeing CEO faces Senate hearing on plane maker's recovery - CNBC,Boeing's CEO Kelly Ortberg faces senators' questions about its recovery from a series of manufacturing and safety crises.,CNBC,general
"Latest Alzheimer’s lab tests focus on memory loss, not brain plaques : Shots - Health News - NPR",New tests of blood and spinal fluid can identify people experiencing memory loss from Alzheimer's disease.,NPR,general
"Israel’s military operation in Gaza Strip expanding to seize 'large areas,' defense minister says - AP News",Israel’s defense minister says the country's military operation in the Gaza Strip is expanding to seize “large areas” of the Palestinian territory. Defense Minister Israel Katz said Wednesday that the operation was “expanding to crush and clean the area of te…,Associated Press,general
Today is Trump's 'Liberation Day.' What does that mean for tariffs? - NPR,"President Trump has been promising new ""reciprocal tariffs"" to punish other countries for their tariffs and trade barriers. Markets are nervous that a trade war could hike prices and hurt the economy.",NPR,general
Supreme Court to decide if states can strip Planned Parenthood of Medicaid funds - NPR,"At issue is whether a state, in this case, South Carolina, can remove Planned Parenthood clinics from its state Medicaid program, even though Medicaid funds cannot generally be used to fund abortions.",NPR,general
"Nintendo set to unveil Switch 2, follow-up to megahit game console - Al Jazeera","Japanese gaming giant expected to reveal release date, price and other key details in live presentation on Wednesday.",Al Jazeera English,general
"Where days of flooding rains, tornadoes and heavy snow will hit hardest - The Washington Post","Hazardous weather will strike millions of people across more than a dozen states, with the potential for tornadoes, flash flooding and heavy snow through the week.",The Washington Post,general
Democrats’ win in Wisconsin court race also is a big loss for Elon Musk - AP News,The Democrats' victory in the Wisconsin Supreme Court race is a big loss for Elon Musk. The billionaire supporter of President Donald Trump and his affiliated groups spent more than $21 million supporting the conservative in the race in hopes of breaking libe…,Associated Press,general
"Steph Curry scores 52, hits 12 3-pointers, as Warriors rally past Grizzlies - The Mercury News",Golden State’s Steph Curry makes 12 3-pointers as Warriors guard passes Jerry West on NBA’s all-time scoring list.,The Mercury News,general
Here’s how the new NFL rules on kickoffs and overtime will work - AP News,The one-year trial version of the dynamic kickoff in the NFL led to an uptick in the return rate that wasn’t quite as much as the league had hoped. Now the new form of the kickoff that is more like a scrimmage play is permanent with a change for 2025 that the…,Associated Press,general
"FDA lays off bird flu leadership, among steep cuts to senior veterinarians - CBS News","More than 130 staff were cut from the FDA's Center for Veterinary Medicine, officials said.",CBS News,general
Wisconsin voters approve constitutional voter ID amendment - WISN,"Wisconsin voters passed a constitutional amendment to enshrine voter ID laws with 60.3% support, securing its place in the state constitution.",WISN Milwaukee,general
David Fincher to Direct Brad Pitt in ‘Once Upon a Time in Hollywood’ Netflix Follow-Up From a Tarantino Script - Variety,"David Fincher is circling a 'Once Upon a Time in Hollywood' sequel, written by Quentin Tarantino. Brad Pitt will return for the follow-up.",Variety,general
Stephanie Vaquer relinquishes North American title; ladder match to determine new champion - Cageside Seats,This is certainly one way to do this.,Cageside Seats,general
Cory Booker's epic Senate speech puts Democrats back in the spotlight - Axios,Democratic voters grown impatient with leaders who won't counter Trump more aggressively.,Axios,general
‘JFK’ director Oliver Stone calls for a reinvestigation of Kennedy’s 1963 assassination - AP News,Oscar-winning director Oliver Stone has called on Congress to reinvestigate the 1963 assassination of President John F. Kennedy following last month's release of thousands of pages of government documents surrounding the killing. Stone's 1991 film “JFK” portr…,Associated Press,general
"Fasting every other day outperforms calorie cutting, clinical trial indicates - upi.com","UPI delivers the latest headlines from around the world: Top News, Entertainment, Health, Business, Science and Sports News - United Press International",UPI.com,general
"April’s Night Sky to Dazzle With Two Meteor Showers, Rare Planet Alignments, and a Celestial Marathon - The Daily Galaxy","April’s night sky is set to dazzle with twin meteor showers, rare planet-moon pairings, and a cosmic challenge that will keep stargazers up all night.",The Daily Galaxy --Great Discoveries Channel,general
Starliner’s flight to the space station was far wilder than most of us thought - Ars Technica,"“Hey, this is a very precarious situation we’re in.”…",Ars Technica,general
Cryptocurrency billionaire watches SpaceX rocket launch on the way to his own SpaceX rocket launch - Space.com,Now that's a two-for-one deal.,Space.com,general
New AirPods Max just got three more features with iOS 18.4 - 9to5Mac,"iOS 18.4 introduced three additional features for Apple’s recent USB-C version of AirPods Max, here’s what’s new.",9to5Mac,general
Galaxy Watch 8 Classic might replace Watch Ultra this year - Sammy Fans,"Samsung’s H2 Unpacked may also bring new smartwatches to the market. Samsung is reportedly working on the Galaxy Watch 8 and Watch 8 Classic (not the Watch Ultra 2), which were just spotted on the SafetyKorea database. Battery units of the Galaxy Watch 8 and …",Sammyfans.com,general
Confirmed measles case in Colorado raises concern - 9News,A confirmed measles case in Pueblo. Learn exposure risks and symptoms to watch.,9News.com KUSA,general
"The Samsung Galaxy Tab S10 FE and S10 FE+ launch date leaks, the tablets themselves leak too - GSMArena.com news - GSMArena.com","This is one of the most leak-prone launches from Samsung. The two Tab S10 FE slates were spotted at an online retailer with prices, specs and everything.",GSMArena.com,general
"Latest Alzheimer’s lab tests focus on memory loss, not brain plaques : Shots - Health News - NPR",New tests of blood and spinal fluid can identify people experiencing memory loss from Alzheimer's disease.,NPR,health
"Small egg farms avoid shortages, keep prices stable - TribLIVE.com","Art King knows egg prices nationally have been on a roller coaster ride. They still cost an average of almost three times what they did in July 2023, but not at his farm market. As co-owner of Harvest Valley Farms in West Deer, King has been selling eggs for …",TribLIVE,health
Do skin probiotics actually work? - BBC,The bacteria and fungi living on your skin play a surprising role in keeping us healthy. Is it possible to give them a boost?,BBC News,health
"Exposure to phthalates during pregnancy can affect a newborn’s brain development, study finds - CNN","Phthalates have been linked with abnormal newborn brain development, and a new study has identified a potential reason why.",CNN,health
"Neuroscience Says How Hard (and Often) You Do 1 Thing Can Make You Smarter, More Insightful, and Even Increase the Size of Your Brain - Inc.com",You're probably doing it already... but research shows you need to do it a lot more often.,Inc.,health
Popular Supplement Under Fire: New Research Reveals That Creatine May Not Help Build Extra Muscle - SciTechDaily,People looking to build muscle with the help of a creatine supplement might be disappointed by new research suggesting it has little to no impact when taken at the recommended dosage. New research led by UNSW has found that taking the popular sports supplemen…,SciTechDaily,health
‘Don’t wait until it’s too late’ - messengernews.net,"Rod Lane woke up last April with a sore throat that just wouldn’t go away. Without insurance, he was hesitant to see a doctor, but when he did, he was shocked to learn that that persistent sore throat was actually cancer. “Squamous cell carcinoma they told me…",Messengernews.net,health
Researchers Say Taking This Supplement Every Day Can Slow Down Aging - AOL.com,A new study has found that taking a certain supplement could help slow down the aging process. Here's everything you need to know.,GoodHousekeeping.com,health
"This Underrated Drink Could Help Slow the Progression of Alzheimer’s, New Study Says - AOL.com","It's a perfect smoothie ingredient, by the way.",Eatingwell.com,health
A new COVID variant is on the rise. Here’s what to know about LP.8.1 - The Conversation,"LP.8.1, a descendant of Omicron, is driving a growing proportion of COVID infections in Australia and elsewhere.",The Conversation Africa,health
How lack of sleep impacts your waistline and blood sugar levels - Times of India,"A national survey reveals that 59% of Indians lack sufficient sleep, which affects metabolism and blood sugar regulation. Dr. Dheeraj Kapoor highlight",The Times of India,health
"Kent County sees first measles case in over a decade, exposure locations and dates listed - WZZM13.com",Kent County confirmed its first measles case in over a decade and listed times and places community members may have been exposed.,WZZM13.com,health
RFK Jr. must reform CDC to fight killer hospital fungus - New York Post,"The CDC is falling far short of its core mission of halting contagious diseases — but in battling this dangerous new infection, RFK Jr. can get the agency back on track.",New York Post,health
Maternal Inflammation May Disrupt Infant Brain Wiring - Neuroscience News,A new study reveals that inflammation during pregnancy may impair neurodevelopment in infants by reducing CD11c-positive microglia—key immune cells that support brain myelination.,Neurosciencenews.com,health
Protein Imbalance Triggers Autism-Like Behavior - Neuroscience News,A new study reveals that autism-like symptoms in mice emerge when two nerve proteins—MDGA2 and BDNF—fall out of balance.,Neurosciencenews.com,health
Hidden Heart Risks: Antidepressants Linked to Sudden Cardiac Death - SciTechDaily,"Long-term antidepressant use is linked to a significantly increased risk of sudden cardiac death, especially in people under 60. Sudden cardiac death (SCD) is defined as an unexpected death due to a heart-related cause. It typically occurs within one hour of …",SciTechDaily,health
"High-protein foods, alcohol-free drinks top list of health trends - New York Post","As Americans become increasingly health-conscious, their online grocery orders are showing a shift toward more nutritious food choices.",New York Post,health
Tennessee Health Department confirms 3 more measles cases - WKRN News 2,"One of the newly-confirmed cases is related to the original measles case, according to the health department.",WKRN News 2,health
"Florida mosquito control warns of busy summer, rising disease risks - Central Florida Public Media","The Florida Department of Health is once again tracking above-average numbers of travel-related cases of the mosquito-borne disease dengue. Now, control groups are working to make sure the disease doesn’t become endemic.",Cfpublic.org,health
"Fasting every other day outperforms calorie cutting, clinical trial indicates - upi.com","UPI delivers the latest headlines from around the world: Top News, Entertainment, Health, Business, Science and Sports News - United Press International",UPI.com,health
Pet owners urged to avoid bait packets: USDA airdropping rabies vaccine - WATE 6 On Your Side,"Various government departments plan to distribute rabies vaccine baits for wild animals this week in Tennessee, according to a spokesperson for the United States Department of Agriculture.",WATE 6 On Your Side,health
These WA health programs and jobs just got cut by the feds - The Seattle Times,"In Washington state, several vaccine programs, plus disease surveillance and health equity work, are losing significant federal funding.",The Seattle Times,health
CDC buries report on effectiveness of measles vaccine - Boing Boing,"It looks like brain worms may have burrowed into the grey matter at the Centers for Disease Control. According to a report from ProPublica, CDC bosses told the organization's staff…",Boing Boing,health
"Screen time in bed linked to worse sleep, study finds - BBC",The research found a correlation between looking at a screen in bed and reporting insomnia and sleep loss.,BBC News,health
Three of the most obese cities in the US are in Alabama - AL.com,Seventeen of the top 20 cities were in the South.,AL.com,health
"Cardiologist warns about 4 worst drinks for heart health, and the list has THIS popular Starbucks beverag - Times of India","Dr. Evan Levine, a cardiologist with 30 years of experience, warns that common beverages like alcohol, soda, energy drinks, and even Starbucks frappuc",The Times of India,health
Omega-6 Fatty Acid Promotes the Growth of an Aggressive Type of Breast Cancer - WCM Newsroom,"Linoleic acid, an omega-6 fatty acid found in seed oils such as soybean and safflower oil, and animal products including pork and eggs, specifically enhances the growth of the hard-to-treat “triple negative” breast cancer subtype, according to a preclinical s…",Cornell.edu,health
Stress has a sweet spot. 5 tips to help you find it - CNN,Most of us try to avoid stress at all costs. But too little stress can be just as bad since certain stressors makes us healthier. 5 steps to tap into it.,CNN,health
COVID falls off WA's list of top 10 killers - The Seattle Times,"Preliminary data from the CDC shows there were 627 deaths from COVID-19 in Washington last year, for a crude rate of 8 per 100,000 people, writes FYI Guy.",The Seattle Times,health
Childhood Adversity Dulls Joy and Deepens Daily Emotional Swings - Neuroscience News,"A new study reveals that adverse childhood experiences make adults more emotionally reactive—not only to negative events, but also to positive ones.",Neurosciencenews.com,health
Combination immunotherapy shrank a variety of metastatic gastrointestinal cancers - National Institutes of Health (NIH) (.gov),"NIH trial shows new form of TIL therapy effective against colon, rectum, pancreas, and bile duct tumors.",National Institutes of Health,health
‘The White Lotus’ has sparked interest in lorazepam. How safe is this anti-anxiety drug? - Firstpost,"Everyone’s talking about Hollywood actor Parker Posey and her role as Victoria Ratliff in Season 3 of HBO’s ‘The White Lotus’. But it’s not her performance but her love for the anti-anxiety drug lorazepam that has piqued interest. Through the episodes, she is…",Firstpost,health
WHO issues its first-ever reports on tests and treatments for fungal infections - World Health Organization (WHO),"<p>The World Health Organization (WHO) today published its first-ever reports addressing the critical lack of   <a href=""https://iris.who.int/bitstream/handle/10665/380498/9789240105140-eng.pdf?sequence=1&isAllowed=y"" target=""_blank"" data-sf-ec-immutable="""" d…",World Health Organization,health
Long COVID continues its haunting impact - KSDK,"According to the CDC, 6% of adults in the U.S. are estimated to be living with the damaging aftermath of catching the virus.",KSDK.com,health
The missing women of autism are differently different - Aeon,"Long believed to be particularly associated with males, new research is revolutionising our understanding of autism",Aeon.co,health
Dad of Two 'Laughed Off' Forgetfulness — Until He Had a Seizure. Now He Has 14 Months to Live - AOL.com,"Two weeks after having a few memory lapses, Paul Fletcher was undergoing brain surgery for terminal cancer",PEOPLE,health
Allergies hitting you already? You're not alone - TribLIVE.com,Sneezing earlier than normal? Congested? Eyes watery? You&rsquo;re not alone or imagining it. Allergy specialists in Western Pennsylvania say allergy seasons are getting longer and intensifying. Patients with allergy symptoms started visiting Allegheny Health…,TribLIVE,health
"Have a picnic, listen to the rain and celebrate National Walking Day: 11 health tips to try this month - Yahoo","Now that April's here, try visiting national parks, flower gazing and looking out for Mother Earth (and your health).",Yahoo Entertainment,health
Mpox Mutation Sparks Global Alarm: Are We Facing the Next Pandemic? - SciTechDaily,"Mpox, once a rare virus mainly confined to parts of Central Africa, is rapidly evolving into a more serious global health threat. Scientists are alarmed by its growing ability to spread from person to person, a shift from its traditional animal-to-human trans…",SciTechDaily,health
Rollout of ‘miracle’ HIV prevention drug is threatened by Trump cuts to global AIDS relief program - statnews.com,"PEPFAR had been set to lead the rollout of Gilead Science's lenacapavir, which has been hailed as a ""miracle"" of HIV prevention.",STAT,health
Confirmed measles case in Colorado raises concern - 9News,A confirmed measles case in Pueblo. Learn exposure risks and symptoms to watch.,9News.com KUSA,health
SS strikes again - Daily Kos,"My adult daughter gets a whopping $889 a month for SSD. She had to claim disability before ever being able to hold down a job after getting her Masters degree, in European Policies at Bath University, UK. She has a B.S. degree in Poly Sci and Spanish....",Dailykos.com,health
Are You Eating Chia Seeds the Right Way? - AOL.com,"Want to eat more chia seeds, but don't know where to begin? We've got you covered with these easy and healthy recipe ideas including chia pudding and more.",GoodHousekeeping.com,health
This Woman Had No Idea She Had A Life-Threatening Health Issue Until She Got A Preventative MRI Screening — And Medical Professionals Are Saying She's Lucky To Be Alive - Yahoo,"""I just went into a full-blown panic attack when I got my results.""",Buzzfeed,health
School district announces active tuberculosis case identified at Waukegan High School - Lake and McHenry County Scanner,"The health department is investigating after an active tuberculosis case was identified at a Waukegan High School campus, which is prompting enhanced cleaning and precautions.",Lakemchenryscanner.com,health
Scientists Pinpoint the Age When Your Brain Declines the Fastest - Real Simple,"A new study suggests that your brain declines faster at specific ages. Read on to learn more about the study's findings, along with preventative ways to delay aging.",Real Simple,health
Cat food distributed in Wyoming has been recalled due to bird flu contaminiation - Oil City News,"CASPER, Wyo. — Cat food is being recalled in Wyoming, due to potentially containing H5N1, also known as ""bird flu."" That's according to a release from",Oil City News,health
"Less Deep Sleep Linked to Brain Shrinkage, Alzheimer’s Risk - Neuroscience News",New research shows that reduced time in slow wave and REM sleep is associated with smaller brain volumes in regions vulnerable to Alzheimer’s disease.,Neurosciencenews.com,health
The Best Way to Eat When Taking Ozempic or Another Weight Loss Medication - AARP,"Drugs like Ozempic and Wegovy can help you lose weight, but not without side effects. Learn what to eat and avoid when taking weight loss drugs.",Aarp.org,health
"Woman, 35, With Tongue Cancer Goes Viral for TikTok 'Fit Checks' - TODAY.com","At the end of 2023, Beth Riehle experienced a terrible migraine that “just seemed to never go away,” she recalls.",TODAY,health
"In 'extremely rare' case, Michigan resident dies from rabies after receiving transplanted kidney carrying the virus - Live Science",A Michigan resident has died from rabies following a kidney transplant at a hospital in Ohio. Investigations show that the donor had the virus when they died.,Live Science,health
Midlife eating patterns tied to health decades later - National Institutes of Health (NIH) (.gov),People who ate healthier diets in midlife were more likely to live into their 70s without major chronic disease.,National Institutes of Health,health
"NAD Supplements Promise to Improve Energy, Metabolism, and Longevity. Here’s How Experts Recommend You Use Them - GQ","You’ll likely be hearing more and more about NAD. But what's the difference between NAD+ and NADH, and should you take supplements or get injections? And is it really effective for anti-aging?",GQ Magazine,health
"Faced with measles, Texas healthcare workers confront ‘information warfare’ - Al Jazeera","For the first time in a decade, a US child has died of measles. What can doctors and nurses do to encourage vaccination?",Al Jazeera English,health
Breakthrough Ultrasound Therapy Cures Man Who Had Tremors in His Hand for Over 30 Years - My Modern Met,This is an incredible medical development for the countless people who suffer from an essential tremor.,My Modern Met,health
This controversial diet may hold a key for reversing biological aging - Fortune,A new small study finds that certain nutritional choices may be a way to keep biological age low and even reverse it.,Fortune,health
I’m a Dietitian and This Is the High-Protein Snack I Never Leave Trader Joe’s Without - EatingWell,"Trader Joe’s has many high-protein snack options, from bags of nuts to cans of tuna, but I always grab this chip-and-dip combo for a snack that’s portable and satisfying.",Eatingwell.com,health
